orthogroup_id	no_sequences	no_species	avg_seq_length	representative_seqid	representative_seqid_length	num_representative_hits	is_best_representative_seq	best_strata	best_strata_taxa	best_strata_total_species	best_strata_species_in_OG	best_strata_species_in_OG_proportion_total	non.strata_taxa_in_analysis	non.strata_taxa_expectedHDF_false	non.strata_taxa_expectedHDF_ambiguous	non.strata_taxa_expectedHDF_true	non.strata_taxa_expectedHDF_false_proportion	non.strata_taxa_expectedHDF_ambiguous_proportion	non.strata_taxa_expectedHDF_true_proportion	strata_nonOG_taxa_in_analysis	strata_nonOG_taxa_expectedHDF_false	strata_nonOG_taxa_expectedHDF_ambiguous	strata_nonOG_taxa_expectedHDF_true	strata_nonOG_taxa_expectedHDF_false_proportion	strata_nonOG_taxa_expectedHDF_ambiguous_proportion	strata_nonOG_taxa_expectedHDF_true_proportion	designation
OG0009264	79	37	313.32	Fungia_spp_REEFv1___m4.12790.m1	312	79	yes	order	Scleractinia	59	37	62.71	61	5	1	55	8.19672	1.63934	90.1639	22	21	1	0	95.4545	4.54545	0	Dark-Restricted
OG0009452	75	30	191.72	Orbicella_faveolata_NAPAv1___XP_020609560.1	209	48	yes	order	Scleractinia	59	30	50.84	61	1	5	55	1.63934	8.19672	90.1639	29	6	22	1	20.6897	75.8621	3.44828	Dark-Restricted
OG0009748	69	35	77.19	Galaxea_fascicularis_REEFv1___m1.16892.m1	74	47	yes	order	Scleractinia	59	35	59.32	61	0	5	56	0	8.19672	91.8033	24	6	17	1	25	70.8333	4.16667	Dark-Restricted
OG0010106	63	38	91.02	Pseudodiploria_strigosa_REEFv1___21004	120	59	yes	order	Scleractinia	59	38	64.4	61	5	3	53	8.19672	4.91803	86.8852	21	20	1	0	95.2381	4.7619	0	Dark-Restricted
OG0010388	58	49	405.47	Orbicella_faveolata_NAPAv1___XP_020608939.1	553	57	yes	order	Scleractinia	59	49	83.05	61	5	7	49	8.19672	11.4754	80.3279	10	10	0	0	100	0	0	Dark-Restricted
OG0010577	56	37	104.86	Porites_lobata_NAPFv3___00005224	224	56	yes	order	Scleractinia	59	37	62.71	61	1	5	55	1.63934	8.19672	90.1639	22	8	14	0	36.3636	63.6364	0	Dark-Restricted
OG0010786	53	36	225.51	Pocillopora_damicornis_SIPAv1___00017901-RA	366	50	yes	order	Scleractinia	59	36	61.01	61	1	11	49	1.63934	18.0328	80.3279	23	9	14	0	39.1304	60.8696	0	Dark-Restricted
OG0011004	50	46	644.36	Pachyseris_speciosa_OIAUv0.12___0.1.m1.16475.m1	853	42	yes	order	Scleractinia	59	46	77.96	61	6	6	49	9.83607	9.83607	80.3279	13	13	0	0	100	0	0	Dark-Restricted
OG0011115	49	43	216.16	Acropora_digitifera_SLJPv2___s0005.g46.t1	313	43	yes	order	Scleractinia	59	43	72.88	61	0	12	49	0	19.6721	80.3279	16	6	10	0	37.5	62.5	0	Dark-Restricted
OG0011449	45	45	279.67	Porites_lutea_OIAUv1.1___m8.23387.m1	310	45	yes	order	Scleractinia	59	45	76.27	61	2	5	54	3.27869	8.19672	88.5246	14	12	2	0	85.7143	14.2857	0	Dark-Restricted
OG0011454	45	40	288.09	Madracis_auretenra_REEFv1___58382	320	45	yes	order	Scleractinia	59	40	67.79	61	13	46	2	21.3115	75.4098	3.27869	19	19	0	0	100	0	0	Dark-Restricted
OG0011823	41	36	135.76	Porites_astreoides_BBBMv1___40035-RA	279	41	yes	order	Scleractinia	59	36	61.01	61	0	0	61	0	0	100	23	0	2	21	0	8.69565	91.3043	Dark-Restricted
OG0012158	38	37	99.61	Porites_lutea_OIAUv1.1___m8.1711.m1	96	38	yes	order	Scleractinia	59	37	62.71	61	2	9	50	3.27869	14.7541	81.9672	22	22	0	0	100	0	0	Dark-Restricted
OG0012405	36	36	129.72	Montipora_capitata_KBHIv3___RNAseq.g8960.t1	138	35	yes	order	Scleractinia	59	36	61.01	61	12	32	17	19.6721	52.459	27.8689	23	23	0	0	100	0	0	Dark-Restricted
OG0012414	36	31	156.97	Porites_rus_NAIDv1___23796_t	200	33	yes	order	Scleractinia	59	31	52.54	61	5	7	49	8.19672	11.4754	80.3279	28	27	1	0	96.4286	3.57143	0	Dark-Restricted
OG0012566	35	35	132.4	Montipora_efflorescens_SLJPv2___sc0000225.g0010.t1	233	35	yes	order	Scleractinia	59	35	59.32	61	8	10	43	13.1148	16.3934	70.4918	24	24	0	0	100	0	0	Dark-Restricted
OG0012986	32	31	87.69	Porites_rus_NAIDv1___35321_t	137	32	yes	order	Scleractinia	59	31	52.54	61	2	4	55	3.27869	6.55738	90.1639	28	13	15	0	46.4286	53.5714	0	Dark-Restricted
OG0012994	32	31	320.19	Porites_rus_NAIDv1___2943_t	278	32	yes	order	Scleractinia	59	31	52.54	61	12	37	12	19.6721	60.6557	19.6721	28	28	0	0	100	0	0	Dark-Restricted
OG0013155	31	31	92.13	Porites_evermanni_NAPFv1___00037620	97	31	yes	order	Scleractinia	59	31	52.54	61	12	37	12	19.6721	60.6557	19.6721	28	28	0	0	100	0	0	Dark-Restricted
