query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	qlen	tlen	qtmscore	ttmscore	alntmscore	rmsd	prob	taxid	taxname	taxlineage
0.pdb	4hxx_A	0.543	510	138	6	1	500	1	425	6.455E-26	842	500	425	4.690E-01	5.435E-01	5.435E-01	3.141E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	7brm_F	0.539	510	137	6	1	500	1	422	2.155E-25	831	500	422	4.706E-01	5.490E-01	5.490E-01	3.125E+01	1.000	83333	Escherichia coli K-12	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli;-_Escherichia coli K-12
0.pdb	1a4w_I	0.534	498	155	4	1	498	1	421	1.470E-24	794	500	421	4.841E-01	5.660E-01	5.660E-01	2.871E+01	1.000	0	unclassified	unclassified
0.pdb	1iyi_D	0.535	508	137	8	1	497	1	420	2.871E-24	778	500	420	4.706E-01	5.514E-01	5.514E-01	3.062E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	4g5j_A	0.515	460	145	4	1	460	1	382	3.411E-22	768	500	383	4.824E-01	6.141E-01	6.141E-01	1.671E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	6ftm_B	0.870	100	13	0	391	490	1	100	3.680E-11	567	500	101	1.851E-01	8.346E-01	8.346E-01	2.765E+00	1.000	5691	Trypanosoma brucei	-_cellular organisms;d_Eukaryota;-_Discoba;p_Euglenozoa;c_Kinetoplastea;-_Metakinetoplastina;o_Trypanosomatida;f_Trypanosomatidae;g_Trypanosoma;-_Trypanozoon;s_Trypanosoma brucei
0.pdb	1iy8_D	0.489	370	121	5	1	360	1	312	2.431E-14	540	500	313	4.705E-01	7.178E-01	7.178E-01	8.623E+00	1.000	144185	Leifsonia aquatica	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Micrococcales;f_Microbacteriaceae;g_Leifsonia;s_Leifsonia aquatica
0.pdb	6ftl_C	0.865	97	13	0	394	490	1	97	6.129E-10	507	500	98	1.798E-01	8.319E-01	8.319E-01	2.731E+00	1.000	267567	Skeletonema marinoi	-_cellular organisms;d_Eukaryota;-_Sar;-_Stramenopiles;-_Ochrophyta;p_Bacillariophyta;c_Coscinodiscophyceae;-_Thalassiosirophycidae;o_Thalassiosirales;f_Skeletonemataceae;g_Skeletonema;-_Skeletonema marinoi-dohrnii complex;s_Skeletonema marinoi
0.pdb	2fb4_L	0.885	96	11	0	386	481	1	96	5.464E-09	457	500	97	1.783E-01	8.591E-01	8.591E-01	3.127E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	6ft0_D	0.791	96	15	2	391	486	1	91	3.117E-08	419	500	92	1.712E-01	8.633E-01	8.633E-01	2.785E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
